wavelength,phase
620.414099089586,78.12596909214577
620.875784937304,78.13929429363569
621.3374707850221,78.15095151570596
621.79915663274,78.16093247791066
622.2608424804581,78.16922889980401
622.7225283281762,78.1758325009401
623.1842141758941,78.1807350008731
623.6459000236122,78.18392811915716
624.1075858713302,78.18540357534637
624.5692717190482,78.18515308899491
625.0309575667662,78.1831683796569
625.4926434144843,78.17944116688652
625.9543292622022,78.17396317023785
626.4160151099203,78.16672610926507
626.8777009576384,78.15772170352233
627.3393868053563,78.14694167256376
627.8010726530744,78.13437773594346
628.2627585007924,78.12002161321563
628.7244443485104,78.10386502393436
629.1861301962284,78.08589968765382
629.6478160439465,78.06611732392818
630.1095018916644,78.04450965231155
630.5711877393825,78.021068392358
631.0328735871005,77.99578526362177
631.4945594348185,77.968651985657
631.9562452825365,77.93966027801777
632.4179311302546,77.90880186025827
632.8796169779725,77.8760684519326
633.3413028256906,77.84145177259491
633.8029886734087,77.80494354179937
634.2646745211266,77.7665354791001
634.7263603688447,77.72621930405124
635.1880462165627,77.68398673620692
635.6497320642807,77.63982949512132
636.1114179119987,77.59373930034853
636.5731037597168,77.54570787144273
637.0347896074347,77.49572692795805
637.4964754551528,77.4437881894486
637.9581613028708,77.38988337546856
638.4198471505888,77.33400420557203
638.8815329983069,77.27614239931322
639.3432188460249,77.21628967624619
639.8049046937429,77.15443775592514
640.2665905414609,77.09057835790418
640.728276389179,77.02470320336049
641.189962236897,76.95681677916058
641.651648084615,76.88696715722324
642.113333932333,76.81521170331608
642.5750197800511,76.74160778320687
643.0367056277692,76.66621276266324
643.4983914754871,76.58908400745295
643.9600773232052,76.51027888334363
644.4217631709232,76.429854756103
644.8834490186412,76.34786899149876
645.3451348663592,76.26437895529855
645.8068207140773,76.17944201327012
646.2685065617952,76.09311553118114
646.7301924095133,76.00545687479928
647.1918782572313,75.91652340989225
647.6535641049493,75.82637250222776
648.1152499526673,75.73506151757344
648.5769358003854,75.64264782169704
649.0386216481033,75.54918878036624
649.5003074958214,75.45474175934869
649.9619933435395,75.35936412441214
650.4236791912574,75.26311324132428
650.8853650389755,75.16604647585271
651.3470508866935,75.0682211937652
651.8087367344115,74.96969476082947
652.2704225821295,74.87052454281311
652.7321084298476,74.77076790548388
653.1937942775655,74.67048221460946
653.6554801252836,74.56972483595754
654.1171659730016,74.46855313529582
654.5788518207196,74.36702447839198
655.0405376684377,74.26519623101368
655.5022235161557,74.16312575892866
655.9639093638737,74.06087042790459
656.4255952115917,73.95848760370916
656.8872810593098,73.85603465211005
657.3489669070277,73.753568938875
657.8106527547458,73.65114782977163
658.2723386024638,73.54882869056767
658.7340244501818,73.44666888703081
659.1957102978998,73.34472578492873
659.6573961456179,73.24305610152324
660.1190819933358,73.14169153050841
660.5807678410539,73.04063136690638
661.042453688772,72.93987275129409
661.5041395364899,72.83941282424841
661.965825384208,72.73924872634626
662.427511231926,72.63937759816451
662.889197079644,72.53979658028017
663.350882927362,72.44050281327002
663.8125687750801,72.34149343771102
664.274254622798,72.24276559418013
664.7359404705161,72.14431642325415
665.1976263182341,72.04614306551007
665.6593121659522,71.94824266152474
666.1209980136701,71.85061235187513
666.5826838613882,71.75324927713807
667.0443697091063,71.65615057789053
667.5060555568243,71.55931339470938
667.9677414045423,71.46273486817158
668.4294272522603,71.36641213885395
668.8911130999784,71.27034234733345
